iter	Logloss
0	0.6866249686
1	0.6817074155
2	0.676116947
3	0.6726692388
4	0.6681541684
5	0.664253874
6	0.6599727062
7	0.6546344602
8	0.64882957
9	0.6451642086
10	0.6416043282
11	0.6364177957
12	0.631931736
13	0.6272481574
14	0.6230787488
15	0.6197528252
16	0.6168674921
17	0.6129424629
18	0.609496853
19	0.6054355665
20	0.6025873082
21	0.5993988685
22	0.5965140652
23	0.5928626179
24	0.5894595754
25	0.585888014
26	0.5826788531
27	0.5799363673
28	0.5775500189
29	0.5745957946
30	0.571654631
31	0.5692404718
32	0.56636532
33	0.5642046396
34	0.5618400821
35	0.5580547068
36	0.5547298081
37	0.5518189644
38	0.5486624714
39	0.546109609
40	0.5443035541
41	0.5420509828
42	0.5401482069
43	0.5382671106
44	0.5358253599
45	0.5340719605
46	0.5319763339
47	0.5297281915
48	0.5270382972
49	0.5248198661
50	0.5224644353
51	0.520576462
52	0.5185097697
53	0.5167219423
54	0.5150461128
55	0.513328491
56	0.5114037074
57	0.5098548134
58	0.5083226109
59	0.5065688404
60	0.504995316
61	0.5027420444
62	0.5003986777
63	0.4989034575
64	0.4969359061
65	0.4951881328
66	0.4938952175
67	0.4922707938
68	0.4905904773
69	0.4890448973
70	0.4875400563
71	0.486028279
72	0.4843659011
73	0.4824248947
74	0.4809299216
75	0.4793790622
76	0.4778819203
77	0.4769750263
78	0.4753184739
79	0.4737595829
80	0.4723631504
81	0.4711391014
82	0.4700817993
83	0.4687075935
84	0.4671842655
85	0.4659595094
86	0.4642850409
87	0.4630512851
88	0.4616863203
89	0.4601654097
90	0.458650957
91	0.457865891
92	0.4569144768
93	0.4563528673
94	0.4550492743
95	0.454285905
96	0.4535831888
97	0.4527517095
98	0.4518128705
99	0.4511534871
100	0.4501674497
101	0.4494164107
102	0.4483902046
103	0.447301112
104	0.4461272873
105	0.4449130869
106	0.4441820772
107	0.4431828278
108	0.4422185637
109	0.4412948062
110	0.4406523499
111	0.4397533424
112	0.4391023083
113	0.4380259219
114	0.4370445958
115	0.4363392689
116	0.4356225322
117	0.4349096724
118	0.4342670334
119	0.4335589393
120	0.4328956773
121	0.4322019953
122	0.431315301
123	0.4306363068
124	0.4299114541
125	0.4285736238
126	0.4280785062
127	0.4272072588
128	0.4268012353
129	0.4257846456
130	0.42521706
131	0.424153476
132	0.4236722998
133	0.4230063078
134	0.4221071213
135	0.4215802067
136	0.4211127915
137	0.4202634054
138	0.4195221837
139	0.4191758039
140	0.4186524584
141	0.4180718445
142	0.4175708706
143	0.4166250912
144	0.4160774862
145	0.4154811011
146	0.4148162972
147	0.4143435055
148	0.4136455049
149	0.4130585779
150	0.4125401137
151	0.411690761
152	0.411377742
153	0.4108603201
154	0.4099999413
155	0.4093502219
156	0.40877953
157	0.407900337
158	0.4074606289
159	0.4069033989
160	0.4063639683
161	0.4058804223
162	0.4051914713
163	0.4045619584
164	0.4041451785
165	0.4036587798
166	0.4030385908
167	0.4023631684
168	0.4016393895
169	0.4011292221
170	0.4007062366
171	0.4000679309
172	0.3994796824
173	0.3989931352
174	0.398659886
175	0.3981731245
176	0.3978789223
177	0.3970719951
178	0.3967670673
179	0.3961350703
180	0.3956977173
181	0.395372043
182	0.3950054343
183	0.394413808
184	0.3937778651
185	0.3933651853
186	0.3927957881
187	0.3924335375
188	0.3918761868
189	0.391305385
190	0.3910084456
191	0.3903830222
192	0.3900212774
193	0.3897142926
194	0.3892345261
195	0.3887448045
196	0.3882353826
197	0.3876784177
198	0.3872793135
199	0.3870642547
